scaffold_1	0	32201434	40299143	0.79906
scaffold_1	1	8097709	40299143	0.20094
scaffold_10	0	30269447	39361040	0.769021
scaffold_10	1	9091593	39361040	0.230979
scaffold_11	0	35553892	45518903	0.78108
scaffold_11	1	9965011	45518903	0.21892
scaffold_2	0	53348481	64245178	0.830389
scaffold_2	1	10896697	64245178	0.169611
scaffold_3	0	69832788	80094553	0.871879
scaffold_3	1	10261765	80094553	0.128121
scaffold_4	0	34924624	41982559	0.831884
scaffold_4	1	7057935	41982559	0.168116
scaffold_5	0	65174675	74734200	0.872086
scaffold_5	1	9559525	74734200	0.127914
scaffold_6	0	41055604	53901343	0.761681
scaffold_6	1	12845739	53901343	0.238319
scaffold_7	0	43714582	52453327	0.8334
scaffold_7	1	8738745	52453327	0.1666
scaffold_8	0	61654667	74335949	0.829406
scaffold_8	1	12681282	74335949	0.170594
scaffold_9	0	31431270	39025316	0.805407
scaffold_9	1	7594046	39025316	0.194593
genome	0	499161464	605951511	0.823765
genome	1	106790047	605951511	0.176235
